GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1013914981744693250,7/2/2018,http://twitter.com/AskPlayStation/status/1013914981744693250,"@Mahmoodkurdish1 Hello, glad to assist you! Please keep in mind this information cannot be checked after you set up the account. Are you having issues resetting the password?",@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,806580,1344469,3158,"@Mahmoodkurdish1 Hello, glad to assist you! Please keep in mind this information cannot be checked after you set up the account. Are you having issues resetting the password?",Reply,,
1014366971721285637,7/4/2018,http://twitter.com/AskPlayStation/status/1014366971721285637,@Vandring1 Thank you! Please check your DMs for further assistance.,@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,807078,1344568,3159,@Vandring1 Thank you! Please check your DMs for further assistance.,Reply,,
1014249456613642240,7/3/2018,http://twitter.com/AskPlayStation/status/1014249456613642240,"@DamianakaTrash Please turn off the console and disconnect all the cables from it for 3 minutes, then start your console in safe mode and choose option 5 Rebuild Database: https://t.co/OOaq76kzAA",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,806932,1344573,3158,"@DamianakaTrash Please turn off the console and disconnect all the cables from it for 3 minutes, then start your console in safe mode and choose option 5 Rebuild Database: https://t.co/OOaq76kzAA",Reply,,
1014307940445118466,7/3/2018,http://twitter.com/AskPlayStation/status/1014307940445118466,"@Vandring1 Glad to assist Andrei! Please follow us on Twitter and let us know once you do, so we can send you a DM.",@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,807012,1344582,3159,"@Vandring1 Glad to assist Andrei! Please follow us on Twitter and let us know once you do, so we can send you a DM.",Reply,,
1014206675161665537,7/3/2018,http://twitter.com/AskPS_UK/status/1014206675161665537,"@rucarrol Hello! Sorry to hear this, which device are you trying to make the purchases from? Are you receiving any error codes or messages? ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,289090,108019,25,"@rucarrol Hello! Sorry to hear this, which device are you trying to make the purchases from? Are you receiving any error codes or messages? ^AS",Reply,,
1014696183887998978,7/4/2018,http://twitter.com/AskPlayStation/status/1014696183887998978,"@Kiki_Nice Here to assist! For refund information, please check the following link: https://t.co/MInrgZSl48",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,807435,1344594,3160,"@Kiki_Nice Here to assist! For refund information, please check the following link: https://t.co/MInrgZSl48",Reply,,
1015384929834819584,7/6/2018,http://twitter.com/AskPlayStation/status/1015384929834819584,@jasontennison1 Glad to assist! Please follow the link for information on how to reset your password: https://t.co/6Cv9bgut2Q,@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,808101,1344787,3159,@jasontennison1 Glad to assist! Please follow the link for information on how to reset your password: https://t.co/6Cv9bgut2Q,Reply,,
1016034269062418433,7/8/2018,http://twitter.com/AskPS_UK/status/1016034269062418433,@fxckyxulxl Please check with our Help page here: https://t.co/m1yhbV7D1i on how best to resolve this. ^NL,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,290527,108407,25,@fxckyxulxl Please check with our Help page here: https://t.co/m1yhbV7D1i on how best to resolve this. ^NL,Reply,,
1014282091746361346,7/3/2018,http://twitter.com/yosp/status/1014282091746361346,@GameOverTomi Thanks Tamas,@yosp,Shuhei of Tsushima,Japan,Tokyo,Tokyo,Positive,Joy,Twitter,M,50052,328393,1095,@GameOverTomi Thanks Tamas,Reply,,
1015657564174987264,7/7/2018,http://twitter.com/AskPS_UK/status/1015657564174987264,@SeekNDstry7 Hi there! We'd love to help but we need to know what the issue is first. ^NL,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,290164,108286,25,@SeekNDstry7 Hi there! We'd love to help but we need to know what the issue is first. ^NL,Reply,,
1013462474627182593,7/1/2018,http://twitter.com/AskPS_UK/status/1013462474627182593,@DanieBlackett Can you confirm if this was a subscription? ^NJ,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,288356,107887,25,@DanieBlackett Can you confirm if this was a subscription? ^NJ,Reply,,
