GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1037369929912279042,2018/09/05,http://twitter.com/AskPS_UK/status/1037369929912279042,@banksie83 Ok. I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,317362,116252,23,@banksie83 Ok. I'm going to need to send you  a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,Reply,,
1037219362564923393,2018/09/05,http://twitter.com/AskPlayStation/status/1037219362564923393,@elife_ros Sure we can help. Please provide us with information about the issue that you're experiencing to help you better.,@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,831624,1355402,3130,@elife_ros Sure we can help. Please provide us with information about the issue that you're experiencing to help you better.,Reply,,
1036344774662479873,2018/09/02,http://twitter.com/AskPlayStation/status/1036344774662479873,"@JulianPena33 In that case, please contact our support through the following link: https://t.co/H2g7fUxX35 or at 1-800-345-7669 Available Mon-Fri",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,830766,1354894,3132,"@JulianPena33 In  that case, please contact our support through the following link: https://t.co/H2g7fUxX35 or at 1-800-345-7669 Available Mon-Fri",Reply,,
1037420830416924672,2018/09/05,http://twitter.com/AskPS_UK/status/1037420830416924672,"@_NCarter_ Hi again! Please use our help page here, following the section ""Problems changing Sign In ID?"": https://t.co/GKZGZx1wRL ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,317472,116299,23,"@_NCarter_ Hi again! Please use our help page here, following the section ""Problems changing Sign In ID?"": https://t.co/GKZGZx1wRL ^AS",Reply,,
1037390454814371841,2018/09/05,http://twitter.com/AskPlayStation/status/1037390454814371841,"@awaisislam0777 Hi there. Sorry to hear that. Have you tried to redeem your code from our SEN Website? More info, here: https://t.co/mDD6URYq5z",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,831775,1355526,3130,"@awaisislam0777 Hi there. Sorry to hear that. Have you tried to redeem your code from our SEN Website? More info, here: https://t.co/mDD6URYq5z",Reply,,
1036271568261971969,2018/09/02,http://twitter.com/AskPS_UK/status/1036271568261971969,"@hxtredwonders Apologies for the missed response. Have you tried restoring your licenses from Settings>Account Management>Restore Licenses, then try relaunching the game? ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,315719,115832,23,"@hxtredwonders Apologies for the missed response. Have you tried restoring your licenses from Settings>Account Management>Restore Licenses, then try relaunching the game? ^AS",Reply,,
1037570411205148672,2018/09/06,http://twitter.com/AskPlayStation/status/1037570411205148672,"@CronavalDP Please follow us on Twitter and let us know once you do, so we can send you a DM.",@AskPlayStation,Ask PlayStation,,,,Neutral,Joy,Twitter,,832019,1355626,3130,"@CronavalDP Please follow us on Twitter and let us know once you do, so we can send you a DM.",Reply,,
1037434514941857792,2018/09/05,http://twitter.com/AskPlayStation/status/1037434514941857792,@aces4839 Glad to hear that!,@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,831843,1355570,3130,@aces4839 Glad to hear that!,Reply,,
1036285682183036928,2018/09/02,http://twitter.com/AskPlayStation/status/1036285682183036928,@Devon53373213 Please contact @AskPS_UK for further assistance.,@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,830707,1354857,3132,@Devon53373213 Please contact @AskPS_UK for further assistance.,Reply,,
1037460029857771520,2018/09/05,http://twitter.com/AskPS_UK/status/1037460029857771520,"@nchambers11 I can see you have purchased this on the 3rd. If the code has not come through by the 6th day as advised, please let us know. ^GA",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Unclassified,Twitter,,317560,116310,23,"@nchambers11 I can see you have purchased this on the 3rd. If the code has not come through by the 6th day as advised, please let us know. ^GA",Reply,,
1036728188536332297,2018/09/03,http://twitter.com/AskPS_UK/status/1036728188536332297,"@cirks450 Hi, sorry to hear that! Is this happening on the console, or the webstore? ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,316522,115989,23,"@cirks450 Hi, sorry to hear that! Is this happening on the console, or the webstore? ^NL",Reply,,
