GUID,Date (EST),URL,Contents,Author,Name,Country,State/Region,City/Urban Area,Category,Emotion,Source,Gender,Posts,Followers,Following,Post Title,Post Type,Image URL,Brand
1050832885442330624,2018/10/12,http://twitter.com/AskPS_UK/status/1050832885442330624,@InspectorAdvert Do all other downloads give you the same issue? ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,337983,121464,23,@InspectorAdvert Do all other downloads give you the same issue? ^DK,Reply,,
1050733464645976064,2018/10/12,http://twitter.com/PlayStationEU/status/1050733464645976064,"Two players, same map, same targets…but two different realities. Fastest assassin wins. Introducing #Hitman2’s Ghost Mode: https://t.co/r2L4hwdmQn https://t.co/Y99f5fyzzW",@PlayStationEU,PlayStation Europe,United Kingdom,Greater London,London,Neutral,Fear,Twitter,,23454,928597,870,"Two players, same map, same targets…but two different realities. Fastest assassin wins.

Introducing #Hitman2’s Ghost Mode: https://t.co/r2L4hwdmQn https://t.co/Y99f5fyzzW",Tweet,,
1051169575595925505,2018/10/13,http://twitter.com/AskPlayStation/status/1051169575595925505,"@Chris68107801 Hello, glad to assist you! Please follow us via Twitter so we can send you a direct message in regards of this problem, let us know once you are following us.",@AskPlayStation,Ask PlayStation,,,,Positive,Joy,Twitter,,844872,1374768,3131,"@Chris68107801 Hello, glad to assist you! Please follow us via Twitter so we can send you a direct message in regards of this problem, let us know once you are following us.",Reply,,
1051444915731877888,2018/10/14,http://twitter.com/AskPS_UK/status/1051444915731877888,"@AndrewH05008284 Thank you for trying. It might still be a power issue, and we'd recommend testing another power cable. Let us know how it goes! ^GA",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Positive,Neutral,Twitter,,339004,121576,23,"@AndrewH05008284 Thank you for trying. It might still be a power issue, and we'd recommend testing another power cable. Let us know how it goes! ^GA",Reply,,
1050057443848413184,2018/10/10,http://twitter.com/AskPS_UK/status/1050057443848413184,@JasonColwell2 Hi! Can you please check your Transaction History with the info located here https://t.co/rTUEr01VDL to make sure it has gone through correctly. ^DK,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,336848,121152,23,@JasonColwell2 Hi! Can you please check your Transaction History with the info located here https://t.co/rTUEr01VDL to make sure it has gone through correctly. ^DK,Reply,,
1051519269341683713,2018/10/14,http://twitter.com/AskPS_UK/status/1051519269341683713,@EnamGaming Hi! Sorry to hear that! What happens when you try to deactivate them? Are you following the steps here: https://t.co/XvnroqCjjB ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Sadness,Twitter,,339394,121673,23,@EnamGaming Hi! Sorry to hear that! What happens when you try to deactivate them? Are you following the steps here: https://t.co/XvnroqCjjB ^MM,Reply,,
1051155220833738753,2018/10/13,http://twitter.com/AskPS_UK/status/1051155220833738753,@ElectronicManYT Can you check any other PSN accounts for the full game? ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,338537,121599,23,@ElectronicManYT Can you check any other PSN accounts for the full game? ^MM,Reply,,
1049413680767660033,2018/10/08,http://twitter.com/Sanguine_Seraph/status/1049413680767660033,Imagine @PlayStation & @Xbox sharing #PlaystationNow & #ProjectXCloud,@Sanguine_Seraph,Shawn L,United States of America,New York,New York,Neutral,Unclassified,Twitter,M,4323,96,762,Imagine @PlayStation & @Xbox sharing #PlaystationNow & #ProjectXCloud,Tweet,,
1052030174118719488,2018/10/15,http://twitter.com/AskPlayStation/status/1052030174118719488,@Symbolizms Please follow us as @AskPlayStation to provide you with further information in regards this matter.,@AskPlayStation,Ask PlayStation,,,,Neutral,Joy,Twitter,,845955,1374666,3121,@Symbolizms Please follow us as @AskPlayStation to provide you with further information in regards this matter.,Reply,,
1051209987475853312,2018/10/13,http://twitter.com/AskPlayStation/status/1051209987475853312,"@AndStreetlight Hello, glad to assist you! Can you please provide us more details of your problem, what is the error code or message that you are receiving when you try to sign in?",@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,844912,1373986,3122,"@AndStreetlight Hello, glad to assist you! Can you please provide us more details of your problem, what is the error code or message that you are receiving when you try to sign in?",Reply,,
1049966796399349760,2018/10/10,http://twitter.com/AskPS_UK/status/1049966796399349760,"@Izzy98006182 Hello! Sorry to hear this, could you let me know why you believe someone has compromised your account? ^AS",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Sadness,Twitter,,336647,121125,23,"@Izzy98006182 Hello! Sorry to hear this, could you let me know why you believe someone has compromised your account? ^AS",Reply,,
1049448655894253569,2018/10/08,http://twitter.com/samiialien/status/1049448655894253569,I suddenly wanna get a PlayStation now,@samiialien,Samie,,,,Positive,Neutral,Twitter,,510,88,765,I suddenly wanna get a PlayStation now,Tweet,,
1050830857005613057,2018/10/12,http://twitter.com/AskPS_UK/status/1050830857005613057,@VG_Jed Ok. All we can suggest in this case is resetting them and let us know how you get on: https://t.co/0XuzU8uBdV Unfortunately we have no troubleshooting for the Scuff ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,337974,121458,23,"@VG_Jed Ok. All we can suggest in this case is resetting them and let us know how you get on: https://t.co/0XuzU8uBdV 
Unfortunately we have no troubleshooting for the Scuff ^MM",Reply,,
1049866343309303808,2018/10/09,http://twitter.com/AskPlayStation/status/1049866343309303808,"@PictureBookGrad Please log into your account on the mobile App or in our web site using a PC, turn all your privacy settings to ""no one"", try to sign in again using the console.",@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,843583,1369232,3124,"@PictureBookGrad Please log into your account on the mobile App or in our web site using a PC, turn all your privacy settings to ""no one"", try to sign in again using the console.",Reply,,
1051494376562667521,2018/10/14,http://twitter.com/AskPlayStation/status/1051494376562667521,"@TomBerrington Here to help! If you are experiencing difficulties with the 2 step verification code, check out the next article: https://t.co/oiLkb8DKLj",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,845170,1374089,3121,"@TomBerrington Here to help! If you are experiencing difficulties with the 2 step verification code, check out the next article: https://t.co/oiLkb8DKLj",Reply,,
1051494205992955904,2018/10/14,http://twitter.com/AskPS_UK/status/1051494205992955904,@CBSDXB Hi! Sorry to hear that! Can you tell us the exact message that comes up when you try to add funds? ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Anger,Twitter,,339232,121641,23,@CBSDXB Hi! Sorry to hear that! Can you tell us the exact message that comes up when you try to add funds? ^MM,Tweet,,
1050535981936455681,2018/10/11,http://twitter.com/pablolan3/status/1050535981936455681,I added a video to a @YouTube playlist https://t.co/wI1HAo8BYj Xbox Game Pass vs PlayStation NOW,@pablolan3,Jim West,United States of America,,,Neutral,Neutral,Twitter,M,48719,512,465,I added a video to a @YouTube playlist https://t.co/wI1HAo8BYj Xbox Game Pass vs PlayStation NOW,Tweet,,
1051500967471013890,2018/10/14,http://twitter.com/AskPlayStation/status/1051500967471013890,@ryan_whatmough Thank you for your reply. Please try rebuilding the database. Follow the steps on the next article: https://t.co/OOaq76kzAA,@AskPlayStation,Ask PlayStation,,,,Neutral,Joy,Twitter,,845186,1374079,3121,@ryan_whatmough Thank you for your reply. Please try rebuilding the database. Follow the steps on the next article: https://t.co/OOaq76kzAA,Reply,,
1051810528362983424,2018/10/15,http://twitter.com/AskPS_UK/status/1051810528362983424,"@munginho10 Hello, sorry to hear that! The email will have more details about this. ^NL",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,339898,121783,23,"@munginho10 Hello, sorry to hear that! The email will have more details about this. ^NL",Reply,,
1050568600371847168,2018/10/11,http://twitter.com/AskPlayStation/status/1050568600371847168,"@JupiterRainz Try going to your phone's settings and then to Storage, Applications, PlayStation App and then click Clear Data, you'll have to sign in again but you should be able to sign in without a problem.",@AskPlayStation,Ask PlayStation,,,,Neutral,Anger,Twitter,,844263,1374357,3131,"@JupiterRainz Try going to your phone's settings and then to Storage, Applications, PlayStation App and then click Clear Data, you'll have to sign in again but you should be able to sign in without a problem.",Reply,,
1051522429296828416,2018/10/14,http://twitter.com/AskPlayStation/status/1051522429296828416,"@ZeroKnightzz Hello, glad to assist you! Please follow this link for more info on how to reset your password: https://t.co/6Cv9bgut2Q",@AskPlayStation,Ask PlayStation,,,,Neutral,Neutral,Twitter,,845231,1374147,3121,"@ZeroKnightzz Hello, glad to assist you! Please follow this link for more info on how to reset your password: https://t.co/6Cv9bgut2Q",Reply,,
1049415749767290880,2018/10/08,http://twitter.com/RealShadowfex/status/1049415749767290880,I NEED OPINIONS! I'm gonna try streaming some games from the PSNow game service. Which game should I try tonight! https://t.co/olQudwxkPa,@RealShadowfex,Shadowfex 🔜 TwitchCon,United States of America,Mississippi,,Neutral,Neutral,Twitter,,4301,372,218,"I NEED OPINIONS! I'm gonna try streaming some games from the PSNow game service. Which game should I try tonight!
https://t.co/olQudwxkPa",Tweet,,
1051887567002583040,2018/10/15,http://twitter.com/AskPlayStation/status/1051887567002583040,@Hudaifa_15 Sorry to hear that! Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,845710,1374535,3121,@Hudaifa_15 Sorry to hear that! Please follow us via Twitter and let us know so we can send you a Direct Message with further instructions. Thanks!,Reply,,
1051033722907230208,2018/10/13,http://twitter.com/AskPS_UK/status/1051033722907230208,"@Joel_R_91 Hello sorry to hear that, do you mean the e-mail has been changed or is something else causing this? ^NJ",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,338120,121520,23,"@Joel_R_91 Hello sorry to hear that, do you mean the e-mail has been changed or is something else causing this? ^NJ",Reply,,
1050611996532465665,2018/10/12,http://twitter.com/AskPlayStation/status/1050611996532465665,@Helloalexiss Glad to assist. Are you getting any error code or message? Please provide us more details about the issue.,@AskPlayStation,Ask PlayStation,,,,Negative,Anger,Twitter,,844326,1374518,3134,@Helloalexiss Glad to assist. Are you getting any error code or message? Please provide us more details about the issue.,Reply,,
1051667157346598912,2018/10/14,http://twitter.com/AskPlayStation/status/1051667157346598912,"@sammhodges Sorry to read that. Please follow us, so we can give you further assistance via Direct Message. Thanks!",@AskPlayStation,Ask PlayStation,,,,Positive,Neutral,Twitter,,845494,1374370,3121,"@sammhodges Sorry to read that. Please follow us, so we can give you further assistance via Direct Message. Thanks!",Reply,,
1049452736142565383,2018/10/08,http://twitter.com/ZacharyWhitten/status/1049452736142565383,"@nbballard Afaik, this is new tech. What they promised but were never able to deliver. PSNow is basically a pipe to a virtual console, this is some crazy distributed beast.",@ZacharyWhitten,"I am Zachary Whitten, The Best Idiot",United States of America,Tennessee,Memphis,Positive,Anger,Twitter,M,66725,2232,834,"@nbballard Afaik, this is new tech. What they promised but were never able to deliver. PSNow is basically a pipe to a virtual console, this is some crazy distributed beast.",Reply,,
1051847137032589312,2018/10/15,http://twitter.com/AskPS_UK/status/1051847137032589312,@conorweir_ Can you now try rebuilding your consoles database?: https://t.co/tQyTWPhJif ^NJ,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,340007,121851,23,@conorweir_ Can you now try rebuilding your consoles database?: https://t.co/tQyTWPhJif ^NJ,Reply,,
1050495282385956864,2018/10/11,http://twitter.com/AskPS_UK/status/1050495282385956864,@EdwinKnight13 Ok. I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Joy,Twitter,,337583,121334,23,@EdwinKnight13 Ok. I'm going to need to send you a DM to help you further. Please make sure that you are following us so that I can send you it. ^MM,Reply,,
1050779683057483777,2018/10/12,http://twitter.com/AskPS_UK/status/1050779683057483777,@Senduhh It's not possible to move content between accounts. You can however play the content on both accounts by setting the same primary console for both. ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,337837,121428,23,@Senduhh It's not possible to move content between accounts. You can however play the content on both accounts by setting the same primary console for both. ^MM,Reply,,
1051176345915596801,2018/10/13,http://twitter.com/AskPS_UK/status/1051176345915596801,@afodor88 Ok. Please log back into the app and delete the message. Then run safe modes 4 and 5 on your console and try to sign in again. https://t.co/tQyTWPhJif ^MM,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Anger,Twitter,,338628,121563,23,@afodor88 Ok. Please log back into the app and delete the message. Then run safe modes 4 and 5 on your console and try to sign in again. https://t.co/tQyTWPhJif ^MM,Reply,,
1050622058269274113,2018/10/12,http://twitter.com/AskPlayStation/status/1050622058269274113,@FWorman We are sorry to read that. Please let us know what happened to the content you purchased so we can better assist you.,@AskPlayStation,Ask PlayStation,,,,Negative,Neutral,Twitter,,844342,1374523,3134,@FWorman We are sorry to read that. Please let us know what happened to the content you purchased so we can better assist you.,Reply,,
1049357700256153600,2018/10/08,http://twitter.com/AskPS_UK/status/1049357700256153600,"@R_Mitch16 Hello! Have you attempted using a different USB cable to hook it up? Does any old controller you own still connect, or do they have issues as well? ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Negative,Neutral,Twitter,,336050,120981,23,"@R_Mitch16 Hello! Have you attempted using a different USB cable to hook it up? Does any old controller you own still connect, or do they have issues as well? ^DB",Reply,,
1050395935711354880,2018/10/11,http://twitter.com/AskPS_UK/status/1050395935711354880,@Mohamed99215323 Can you try doing this remotely: https://t.co/XvnroqCjjB ^NJ,@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,337243,121248,23,@Mohamed99215323 Can you try doing this remotely: https://t.co/XvnroqCjjB ^NJ,Reply,,
1049416061647491077,2018/10/08,http://twitter.com/AskPS_UK/status/1049416061647491077,"@DXRKE_ Hello! This content shouldn't be downloaded from the Store once you redeem a voucher, instead becoming available post-redemption in the game. Have you changed Epic account since you redeemed it? ^DB",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,336188,121020,23,"@DXRKE_ Hello! This content shouldn't be downloaded from the Store once you redeem a voucher, instead becoming available post-redemption in the game. Have you changed Epic account since you redeemed it? ^DB",Reply,,
1050681651976536066,2018/10/12,http://twitter.com/AskPS_UK/status/1050681651976536066,"@Stoyano38174550 Hi there, sorry to hear that! If you're sure you're using the same account you purchased Rocket League on, please try Settings > Account Management > Restore Licenses and let us know how you get on. ^GA",@AskPS_UK,Ask PlayStation UK,United Kingdom,Greater London,London,Neutral,Neutral,Twitter,,337650,121391,23,"@Stoyano38174550 Hi there, sorry to hear that! If you're sure you're using the same account you purchased Rocket League on, please try Settings > Account Management > Restore Licenses and let us know how you get on. ^GA",Reply,,
